L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-load-misses,L2-store-misses,cycles,instructions,ns
9058353,33,3619,12,92852,6561,2074,51,6403,15,186183286,486822647,50333108
8968171,2,2388,14,103578,6534,2288,52,6256,21,188469022,494882403,50281731
9311561,0,2391,0,93995,5302,2162,35,5829,0,190214883,498865050,50314582
9278435,4,2431,0,100477,6250,2234,38,6083,6,190140892,491771972,50270234
9384861,4,3400,12,161154,12990,2779,16,7057,0,189683643,486635959,50306479
4968409,0,2315,12,192993,7346,2368,0,9063,0,188986470,436853043,50309221
5065541,0,2273,0,200128,7915,2443,2,7889,5,189656666,448605393,50322567
5023951,1,2195,4,203331,8525,2295,3,7547,5,188583337,445503065,50287428
4322423,15,9007,4,184815,9856,2626,3,9363,0,186126853,432068512,50317518
4962429,5,2573,10,199793,11010,2863,12,11677,5,189014040,445745310,50294049
4655024,11,2487,2,196505,7192,2387,9,7661,5,189639359,451497229,50323448
4837776,0,2139,9,203196,7271,2312,0,6941,12,188741159,447632853,50278892
5167449,0,2671,7,201373,9293,2407,6,7879,6,188397789,450973715,50311842
5126200,1,2247,3,198704,8784,2486,3,8325,0,188965361,450351648,50288558
8348757,3,2390,0,197493,17471,6911,7833,19415,28558,188522750,489536246,50352516
8542653,21,15228,61,117271,8300,2758,40,8495,6,187732483,491834371,50294373
8590466,7,2239,11,138285,7954,2825,47,7586,0,189339119,496993857,50335871
8905507,7,3078,0,141036,7887,2887,31,8308,6,189074135,500351836,50277291
4703822,0,2411,3,197437,11495,3574,25,13827,0,188982297,469934439,50306452
4547493,35,11092,88,283947,12999,3331,12,9188,18,180655699,454754722,50255965
3938753,8,3669,22,266001,13753,3867,22,15680,12,183828727,451783853,50353683
4687622,8,2974,4,284856,11129,3253,22,10148,0,188132515,476257877,50304049
4302837,2,2876,4,283605,8775,3208,8,8392,40,187831143,470042897,50324426
4917088,16,2507,16,285673,8783,3163,8,8422,9,190367985,483186164,50277542
4751186,12,2675,8,279527,8771,3298,10,8357,11,188722535,472684979,50324813
11493001,29,2445,27,160445,11385,3689,6817,21545,194682,188536701,494165326,50291101
12087460,25,2634,14,164318,10176,3836,46,10588,5,189496847,531843051,50326272
11174212,10,2624,0,164159,14002,4234,131,14931,63,188063531,496665540,50284467
5503734,11,1999,54,329436,11861,3741,74,11506,63,189340059,437952851,50310564
5359411,15,2218,64,328146,10616,3719,109,10463,57,189125647,438314199,50280612
5180109,1,2055,56,340593,10432,4076,100,13892,76,189177593,438772656,50322089
5182626,3,4049,58,327587,9841,3769,78,9113,52,184453526,426500639,50259812
5409270,5,2768,149,328321,13502,3716,122,11504,97,187272786,430894757,50347211
9983671,3,2752,57,332301,10286,8151,7812,22328,228920,183299665,455125542,50302462
12100498,3,2183,15,138510,8434,2893,69,8736,37,189080522,497811378,50324871
