L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-store-misses,L2-load-misses,cycles,instructions,ns
10373121,1029,38935,148250,6583036,3087145,2532235,79629,143432,3129301,835161540,671963824,350739132
10122283,1329,36547,146524,6556810,3116251,2511878,79277,152569,3109356,830385512,671658295,350616913
10206745,494,34868,147858,6583213,3157851,2523660,81134,144611,3112313,837308327,678882179,350759614
10237976,906,40391,180641,6523598,3159007,2513825,83983,141877,3098347,834247094,673539311,350609056
10137185,957,42575,146581,6526101,3137799,2516607,79470,151041,3100387,832909437,673754794,350588944
10152940,846,33179,148253,6575807,3113381,2522495,78617,143398,3105921,832001308,671090294,350901689
10349584,1032,36419,148505,6532166,3103136,2521557,82238,204259,3165830,830924036,666410422,350904978
10103351,1378,39834,146799,6562819,3118659,2529843,79886,148774,3116452,832641955,667333839,350870898
9956913,736,32595,142561,6877843,3033246,2478770,63648,143091,3045563,866689162,781011327,350734135
10581050,750,38272,171381,7921501,2885631,2369874,48741,136413,2947021,940309961,902273240,350743034
