L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-load-misses,L2-store-misses,cycles,instructions,ns
8156821,179,900280,0,846834,13,88,2,13,0,189683595,440776361,50251178
8243749,213,973239,0,797919,11,79,2,13,0,189152348,440069634,50250194
8555566,177,1046241,0,898487,0,66,0,2,0,189689395,436847396,50257415
8868109,213,1013550,0,790944,0,38,5,0,0,189888605,442482380,50252047
9023781,184,1097853,0,795205,3,69,0,0,0,189932978,435968061,50252529
9065460,205,1079947,0,818971,3,43,9,2,2,189905379,440478230,50257195
9150703,193,1190860,0,892758,0,94,3,5,0,189131699,427416218,50251395
9260188,176,1208409,0,880081,216,47,92,622,32,181137099,422239661,50253027
9722728,223,1317515,0,870800,251,147,3,131,0,188764382,436340340,50268496
9880112,155,1309011,0,805823,34,172,3,15,0,188954185,436403864,50255407
9799812,156,1405056,0,835647,6,282,0,9,0,188951196,429552385,50253647
10109936,179,1500599,3,843735,3,65,0,21,0,189066698,438470282,50259545
10147565,130,1465605,0,826539,3,351,0,6,0,188751614,436012104,50250158
10106639,130,1469066,0,829168,3,122,0,3,0,188570125,441903200,50255446
10085584,153,1467152,0,809291,3,172,6,3,0,188749610,438459534,50250770
9894957,164,1366163,0,806152,3,251,6,0,0,187842344,434960079,50250385
9903613,240,1382155,0,820599,2,87,3,0,0,189066097,437868470,50255312
9938607,190,1394607,0,721248,2,234,3,0,0,189953477,432665603,50251148
10018204,142,1406889,0,654023,0,156,0,0,0,188771333,439912595,50253286
9652680,140,1281512,40,722683,212,223,0,0,0,187191252,436444543,50255614
9857564,163,1307366,2,753862,363,99,5,47,0,188930354,431677937,50264460
9819953,167,1313406,0,744561,55,145,2,28,0,189965223,439580173,50259374
9761287,144,1250925,0,713298,2,101,0,5,0,188884970,438894817,50256889
10092464,201,1284053,0,700684,15,256,5,30,0,188807914,442395186,50253039
10074190,138,1355762,0,722215,0,73,2,2,0,189897745,443374840,50252889
10057530,163,1291809,0,721439,3,84,0,0,0,189151356,442273574,50256405
9966076,174,1291153,0,745464,0,446,2,2,0,189890006,440077697,50253144
10136879,200,1336701,0,735609,9,160,3,5,0,189930996,447036764,50252218
9990721,172,1332376,0,756513,9,213,0,0,0,189117849,436601516,50260393
9668415,185,1311603,148,718544,4749,144,6,2010,99,184160419,425186494,50256812
9851713,170,1365647,3,740480,56,72,0,25,12,189982080,442793282,50287254
10065975,130,1373710,0,673444,442,116,6,1064,25,183662723,432106625,50255586
10013977,199,1391136,3,646294,131,50,0,72,0,189227008,448535043,50262020
10035347,145,1249773,7,652397,18,69,0,31,0,187299246,440939322,50262890
10331042,147,1522787,0,662629,15,56,0,6,0,189335217,460339373,50251539
10177805,137,1284435,0,567495,15,34,0,6,0,188574578,451781131,50288099
10282479,139,1283687,0,553834,0,9,3,18,9,188407166,454763510,50254367
10103813,200,1330037,0,702117,0,25,9,12,0,188140722,449996600,50250434
10417645,152,1362091,3,569375,13,37,0,0,0,189684337,451295789,50250287
10167690,125,1502488,0,650842,0,129,0,25,0,190266136,451755314,50255457
10249872,161,1376864,15,599667,30,49,0,3,0,189956391,453355086,50252013
9832174,219,1367335,33,621527,3935,115,0,3672,103,184075031,443034988,50255502
10328844,131,1596897,0,540876,77,35,0,160,0,188506883,450162773,50278930
10457179,222,1484505,127,524098,514,137,2,187,9,189330777,446963890,50263182
10589929,155,1571766,4,550091,207,33,0,176,0,188478219,455954271,50275993
10378805,201,1636915,0,528459,43,19,0,104,5,188829800,458315883,50258750
10489705,177,1563542,0,553430,0,53,0,57,0,189407829,457811073,50254389
10210971,170,1484206,0,534992,12,81,0,0,0,189386444,464466088,50259885
10181588,220,1447989,4,484814,15,53,0,46,0,188171826,461989307,50251842
10833510,147,1583310,0,433083,28,12,0,29,0,187978436,469873075,50255108
11027056,231,1672932,273,424973,285,37,3,47,0,189394814,472943331,50183293
10924720,151,1697776,35,444137,144,25,0,210,5,188610457,465703114,50270850
10834313,208,1655604,3,468154,18,84,0,153,0,188612844,464930401,50261179
10739946,132,1612401,0,454390,100,53,0,0,0,187937813,464591509,50261946
10570930,139,1670488,0,435395,0,43,0,78,12,188764478,466972849,50251128
10966798,170,1696622,3,425845,458,87,0,772,87,185084328,466631389,50251390
11022714,132,1616177,7,384254,47,103,3,370,12,189098653,475901839,50265072
11696020,149,1691965,0,369395,6,84,3,6,0,189041553,477130242,50251704
9536979,672,1490057,892,320154,2,24,2,54,0,163706325,411436124,43696617
9770454,2321,805555,251,917261,2619,181,3,309,46,371529228,1000054502,100101364
12725843,363,674704,59,997440,728,153,0,470,65,377243431,982809331,100282208
16225684,622,1651435,0,1478339,132,208,3,21,0,377384809,892106743,100259147
16741708,670,1756723,0,1603627,2,279,8,0,0,378142820,880494783,100246795
16165144,627,1888242,8,1622419,93,223,5,79,81,371592915,857000504,100251653
17480268,737,2044383,0,1664263,48,215,2,33,0,376041176,861927773,100301321
17687544,605,2147731,0,1605664,3,163,2,13,0,378095808,866908108,100252702
