L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-store-misses,L2-load-misses,cycles,instructions,ns
64071999,118767,8844981,2283411,9425130,16847734,8338204,977212,2231987,16566640,2729666482,1562814326,1500799734
56341250,114998,8853237,2007858,8354638,15408330,7448154,874674,2044731,15353443,2594731324,1351454805,1501419556
65342982,101987,7250037,2339421,9404313,16616344,8673958,1044740,2343493,16427138,2707404234,1592859985,1501049879
93268493,53568,5306337,2832827,12725867,19384328,12232998,1487751,2838739,19309624,3087669795,2421995920,1500972722
89807697,63207,5134052,2955309,12114950,19600208,11879774,1487086,2970334,19493736,3053557161,2298543315,1500702514
93571328,54886,5496152,2850022,12985593,20082866,12152015,1427382,2799675,19693106,3159213800,2376685749,1500615396
96596509,29050,3889116,3155951,12821131,20344711,12581463,1576379,3172727,20348138,3219890066,2443113147,1500697211
61254073,91147,7783021,2238618,9094713,16027771,7610957,942052,2279799,16254833,2821378204,1465755549,1500664874
54943361,121161,8931693,2239652,8154189,15895507,7360773,955424,2337100,15911621,2642161731,1311116336,1501857451
61815568,121012,8112406,2474393,8973594,16991148,8120642,1061527,2520403,17013527,2763731902,1501085446,1500885662
56424120,122602,8804675,2330486,7749582,15862253,6976656,932535,2353946,15962978,2589017087,1317735564,1500681191
59952476,113799,9926448,2360763,8716160,16110306,7620060,1009795,2407235,16010776,2682625019,1421729962,1500823710
50672397,134209,10677678,2205148,7146806,15346291,6164967,822404,2198878,15400191,2607492311,1170114007,1501939515
55270829,123626,9068685,2376790,8083494,16153660,7073796,940175,2337530,15911216,2578463780,1295106671,1501381862
69157186,88249,6402564,2629584,9309241,16882978,8860352,1198602,2688431,17026477,2657998445,1743872132,1501659907
87992534,64265,4440348,3216635,12020513,19258954,11521846,1551220,3181513,19173977,2947229845,2233049389,1500697447
78690501,95209,6327642,2956283,10884582,18872068,10488615,1400328,3011525,18590471,2928524060,1971579023,1500673604
96216632,28652,3753508,3413350,12798625,20353351,12466460,1693456,3410919,20348516,3179694507,2483771134,1500981055
95895637,39308,4251598,3435768,12814824,20596036,12615847,1725611,3453314,20428495,3212413449,2485077074,1500851703
98034204,28025,3945650,3415584,13188551,20941440,12830135,1702234,3369292,21045715,3270185793,2548141047,1500864740
100298340,22598,4108431,2992914,13673069,20763048,12961449,1546557,3018783,21004892,3292008707,2614172071,1500873165
100347002,15392,3566229,3450011,13217075,21259574,12986047,1716541,3455867,21168855,3287350334,2578174573,1500813419
34435999,70275,10607870,539628,6644093,9917698,5708590,703968,497337,9430474,2566442728,3850859978,1142722812
136926853,121952,38349575,3600473,18697721,19917421,11358146,1836267,3653365,19794352,5053876296,6031222961,2000105794
142942035,38706,5222479,4841503,18309189,28899250,18276162,2330301,4863055,28959346,4465826621,3611251988,2001382360
141405544,36780,5837108,4380963,19460094,28247114,18333342,2191332,4366683,28283580,4563560050,3683033936,2000894775
